index,t,WT_1,WT_2,WT_3
82,17.1195069444444,2.6289012167381,2.60302277342855,2.64584179737691
83,17.3282777777778,2.62800309913695,2.60301676826348,2.64539059979964
84,17.5370416666667,2.62799619559566,2.60211698376919,2.64582888867055
85,17.7458194444444,2.62754210394856,2.60344827332186,2.64582086495579
86,17.9545972222222,2.62619513497446,2.60165326098092,2.64581161443706
87,18.1633680555556,2.62440029503391,2.59807161653338,2.64223622647738
88,18.3721458333333,2.6248351934742,2.59806039364899,2.64311604053624
89,18.5809236111111,2.62259345842236,2.5971563448679,2.64176761975327
90,18.7896944444444,2.62391992103367,2.59848386133343,2.64443030143898
91,18.9984583333333,2.62524737717054,2.60115125425689,2.64531086918548
92,19.2072361111111,2.62568331192074,2.59801629199857,2.64307193888581
93,19.4160138888889,2.62299768406969,2.5988998573777,2.64217149233097
94,19.6247847222222,2.62432677979233,2.59889107628253,2.64260796862304
95,19.8335625,2.62253428105836,2.5970971675039,2.64215424023283
96,20.0423333333333,2.61851070656027,2.59396364002335,2.63857971194252
97,20.2511111111111,2.62117870219138,2.59708008497902,2.63946223517539
98,20.4598819444444,2.62161569988187,2.59662440513104,2.64123637795164
99,20.6686527777778,2.6220520430738,2.59661458286168,2.6416723626128
100,20.8774305555556,2.62248774283896,2.59838958208309,2.64166190416986
101,21.0862013888889,2.62247618951236,2.59659257109215,2.64075872793703
102,21.2949791666667,2.62157269951861,2.59568838047123,2.64030173663317
103,21.5037569444444,2.6206694592154,2.59389191922832,2.63850799114749
104,21.7125208333333,2.61842826634639,2.59388119980948,2.63493060555191
105,21.9212916666667,2.62109430783445,2.59163785235594,2.6349199937473
106,22.1300694444444,2.61885333754667,2.59028815795255,2.63669259806368
107,22.3388402777778,2.62018094414335,2.59250996325423,2.6380197936829
108,22.5476180555556,2.62195524075795,2.59517823690239,2.63934643560795
109,22.7563958333333,2.61837589116816,2.59159608898232,2.63443229215484
110,22.9651597222222,2.61658118153329,2.58980004062746,2.63486791785857
111,23.1739305555556,2.61523213947052,2.59023633981903,2.6330738403289
112,23.3827083333333,2.61522189278064,2.58843977390593,2.63350955699538
113,23.5914791666667,2.61431911851156,2.58976929041973,2.63305336441724
114,23.8002569444444,2.61564770600431,2.58841932452494,2.63304314425803
115,24.0090347222222,2.61786817462451,2.59064200126733,2.6357085868136
116,24.2178125,2.61696550933438,2.5919709497778,2.63569838606428
117,24.4265694444444,2.61740156889342,2.5883887359601,2.63568820993509
118,24.6353472222222,2.61248353994743,2.58971834818366,2.63478622541477
119,24.844125,2.61336553227908,2.58792193947498,2.63210092941198
